record_id,sos_message,urgency_level,temperature_c,gas_ppm,humidity_percent,flood_sensor_level_cm,drone_image_label
1,"Trapped under collapsed building, need urgent rescue",Low,28.9,61,45,0,Collapsed_Building
2,"Trapped under collapsed building, need urgent rescue",Medium,29.9,102,52,0,Collapsed_Building
3,"Trapped under collapsed building, need urgent rescue",High,37.1,87,62,0,Collapsed_Building
4,"Trapped under collapsed building, need urgent rescue",Medium,22.6,183,23,0,Collapsed_Building
5,"Trapped under collapsed building, need urgent rescue",Medium,23.5,6,58,0,Collapsed_Building
6,"Trapped under collapsed building, need urgent rescue",High,31.2,65,71,0,Collapsed_Building
7,"Trapped under collapsed building, need urgent rescue",Medium,37.9,40,54,0,Collapsed_Building
8,"Trapped under collapsed building, need urgent rescue",High,24.5,4,77,0,Collapsed_Building
9,"Trapped under collapsed building, need urgent rescue",High,28.8,184,21,0,Collapsed_Building
10,"Trapped under collapsed building, need urgent rescue",High,24.1,116,89,0,Collapsed_Building
11,"Trapped under collapsed building, need urgent rescue",Low,50.0,47,73,0,Collapsed_Building
12,"Trapped under collapsed building, need urgent rescue",Medium,40.2,198,44,0,Collapsed_Building
13,"Trapped under collapsed building, need urgent rescue",Low,21.9,189,12,0,Collapsed_Building
14,"Trapped under collapsed building, need urgent rescue",High,47.9,122,83,0,Collapsed_Building
15,"Trapped under collapsed building, need urgent rescue",High,48.8,101,15,0,Collapsed_Building
16,"Trapped under collapsed building, need urgent rescue",Low,42.6,197,51,0,Collapsed_Building
17,"Trapped under collapsed building, need urgent rescue",High,30.2,1,45,0,Collapsed_Building
18,"Trapped under collapsed building, need urgent rescue",Low,31.2,16,22,0,Collapsed_Building
19,"Trapped under collapsed building, need urgent rescue",High,31.1,152,11,0,Collapsed_Building
20,"Trapped under collapsed building, need urgent rescue",Medium,25.0,183,15,0,Collapsed_Building
21,"Trapped under collapsed building, need urgent rescue",High,36.0,105,76,0,Collapsed_Building
22,"Trapped under collapsed building, need urgent rescue",Medium,30.8,163,65,0,Collapsed_Building
23,"Trapped under collapsed building, need urgent rescue",High,45.7,178,25,0,Collapsed_Building
24,"Trapped under collapsed building, need urgent rescue",Medium,25.3,157,26,0,Collapsed_Building
25,"Trapped under collapsed building, need urgent rescue",Medium,27.4,112,95,0,Collapsed_Building
26,"Trapped under collapsed building, need urgent rescue",Medium,32.4,14,49,0,Collapsed_Building
27,"Trapped under collapsed building, need urgent rescue",Medium,25.8,82,13,0,Collapsed_Building
28,"Trapped under collapsed building, need urgent rescue",High,46.4,196,82,0,Collapsed_Building
29,"Trapped under collapsed building, need urgent rescue",High,47.4,114,35,0,Collapsed_Building
30,"Trapped under collapsed building, need urgent rescue",Medium,41.6,113,59,0,Collapsed_Building
31,"Trapped under collapsed building, need urgent rescue",Medium,29.4,160,40,0,Collapsed_Building
32,"Trapped under collapsed building, need urgent rescue",Low,44.7,145,83,0,Collapsed_Building
33,"Trapped under collapsed building, need urgent rescue",Medium,22.4,56,84,0,Collapsed_Building
34,"Trapped under collapsed building, need urgent rescue",Medium,33.4,16,86,0,Collapsed_Building
35,"Trapped under collapsed building, need urgent rescue",High,48.9,191,90,0,Collapsed_Building
36,"Trapped under collapsed building, need urgent rescue",Medium,22.1,75,14,0,Collapsed_Building
37,"Trapped under collapsed building, need urgent rescue",High,41.4,125,27,0,Collapsed_Building
38,"Trapped under collapsed building, need urgent rescue",Medium,47.6,162,53,0,Collapsed_Building
